The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
[2024-06-26 22:46:57,215] torch.distributed.run: [WARNING] 
[2024-06-26 22:46:57,215] torch.distributed.run: [WARNING] *****************************************
[2024-06-26 22:46:57,215] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-06-26 22:46:57,215] torch.distributed.run: [WARNING] *****************************************
training...
training...
epoch:0 41/61381 time:0.00+1.22 loss_context:3.6705e+01
epoch:0 41/61381 time:0.00+1.23 loss_context:3.6705e+01
epoch:0 42/61381 time:0.00+1.22 loss_context:3.6803e+01
epoch:0 42/61381 time:0.00+1.23 loss_context:3.6803e+01
epoch:0 43/61381 time:0.00+1.23 loss_context:3.6817e+01
epoch:0 43/61381 time:0.01+1.23 loss_context:3.6817e+01
epoch:0 44/61381 time:0.00+1.23 loss_context:3.6913e+01
epoch:0 44/61381 time:0.00+1.23 loss_context:3.6913e+01
epoch:0 45/61381 time:0.00+1.24 loss_context:3.6734e+01
epoch:0 45/61381 time:0.00+1.27 loss_context:3.6734e+01
epoch:0 46/61381 time:0.00+1.22 loss_context:3.6584e+01
epoch:0 46/61381 time:0.00+1.21 loss_context:3.6584e+01
epoch:0 47/61381 time:0.00+1.25 loss_context:3.6970e+01
epoch:0 47/61381 time:0.00+1.27 loss_context:3.6970e+01
epoch:0 48/61381 time:0.00+1.21 loss_context:3.6468e+01
epoch:0 48/61381 time:0.00+1.23 loss_context:3.6468e+01
epoch:0 49/61381 time:0.00+1.24 loss_context:3.6729e+01
epoch:0 49/61381 time:0.02+1.23 loss_context:3.6729e+01
epoch:0 50/61381 time:0.00+1.22 loss_context:3.6525e+01
epoch:0 50/61381 time:0.00+1.22 loss_context:3.6525e+01
epoch:0 51/61381 time:0.00+1.26 loss_context:3.6850e+01
epoch:0 51/61381 time:0.01+1.26 loss_context:3.6850e+01
epoch:0 52/61381 time:0.00+1.23 loss_context:3.6576e+01
epoch:0 52/61381 time:0.00+1.22 loss_context:3.6576e+01
epoch:0 53/61381 time:0.00+1.24 loss_context:3.6549e+01
epoch:0 53/61381 time:0.01+1.24 loss_context:3.6549e+01
epoch:0 54/61381 time:0.00+1.23 loss_context:3.6753e+01
epoch:0 54/61381 time:0.00+1.20 loss_context:3.6753e+01
epoch:0 55/61381 time:0.00+1.30 loss_context:3.6670e+01
epoch:0 55/61381 time:0.00+1.30 loss_context:3.6670e+01
epoch:0 56/61381 time:0.00+1.22 loss_context:3.6926e+01
epoch:0 56/61381 time:0.00+1.22 loss_context:3.6926e+01
epoch:0 57/61381 time:0.02+1.21 loss_context:3.6798e+01
epoch:0 57/61381 time:0.00+1.24 loss_context:3.6798e+01
epoch:0 58/61381 time:0.00+1.21 loss_context:3.6690e+01
epoch:0 58/61381 time:0.00+1.24 loss_context:3.6690e+01
epoch:0 59/61381 time:0.00+1.25 loss_context:3.6465e+01
epoch:0 59/61381 time:0.01+1.23 loss_context:3.6465e+01
epoch:0 60/61381 time:0.00+1.22 loss_context:3.6895e+01
epoch:0 60/61381 time:0.00+1.21 loss_context:3.6895e+01
epoch:0 61/61381 time:0.00+1.24 loss_context:3.6541e+01
epoch:0 61/61381 time:0.00+1.26 loss_context:3.6541e+01
epoch:0 62/61381 time:0.01+1.22 loss_context:3.6452e+01
epoch:0 62/61381 time:0.00+1.22 loss_context:3.6452e+01
epoch:0 63/61381 time:0.01+1.26 loss_context:3.6748e+01
epoch:0 63/61381 time:0.01+1.27 loss_context:3.6748e+01
epoch:0 64/61381 time:0.00+1.22 loss_context:3.6736e+01
epoch:0 64/61381 time:0.00+1.22 loss_context:3.6736e+01
epoch:0 65/61381 time:0.00+1.24 loss_context:3.6563e+01
epoch:0 65/61381 time:0.00+1.25 loss_context:3.6563e+01
epoch:0 66/61381 time:0.00+1.22 loss_context:3.6530e+01
epoch:0 66/61381 time:0.00+1.22 loss_context:3.6530e+01
epoch:0 67/61381 time:0.00+1.24 loss_context:3.6679e+01
epoch:0 67/61381 time:0.00+1.24 loss_context:3.6679e+01
epoch:0 68/61381 time:0.00+1.22 loss_context:3.6513e+01
epoch:0 68/61381 time:0.00+1.23 loss_context:3.6513e+01
epoch:0 69/61381 time:0.00+1.24 loss_context:3.6707e+01
epoch:0 69/61381 time:0.00+1.25 loss_context:3.6707e+01
epoch:0 70/61381 time:0.00+1.22 loss_context:3.6482e+01
epoch:0 70/61381 time:0.00+1.23 loss_context:3.6482e+01
epoch:0 71/61381 time:0.00+1.23 loss_context:3.6897e+01
epoch:0 71/61381 time:0.00+1.25 loss_context:3.6897e+01
epoch:0 72/61381 time:0.00+1.21 loss_context:3.6559e+01
epoch:0 72/61381 time:0.00+1.22 loss_context:3.6559e+01
epoch:0 73/61381 time:0.00+1.30 loss_context:3.6549e+01
epoch:0 73/61381 time:0.00+1.30 loss_context:3.6549e+01
epoch:0 74/61381 time:0.00+1.22 loss_context:3.6487e+01
epoch:0 74/61381 time:0.00+1.22 loss_context:3.6487e+01
epoch:0 75/61381 time:0.00+1.26 loss_context:3.6772e+01
epoch:0 75/61381 time:0.01+1.24 loss_context:3.6772e+01
epoch:0 76/61381 time:0.00+1.22 loss_context:3.6651e+01
epoch:0 76/61381 time:0.00+1.23 loss_context:3.6651e+01
epoch:0 77/61381 time:0.00+1.24 loss_context:3.6338e+01
epoch:0 77/61381 time:0.01+1.22 loss_context:3.6338e+01
epoch:0 78/61381 time:0.00+1.22 loss_context:3.6460e+01
epoch:0 78/61381 time:0.00+1.22 loss_context:3.6460e+01
epoch:0 79/61381 time:0.00+1.23 loss_context:3.6740e+01
epoch:0 79/61381 time:0.00+1.26 loss_context:3.6740e+01
epoch:0 80/61381 time:0.00+1.23 loss_context:3.6494e+01
epoch:0 80/61381 time:0.00+1.21 loss_context:3.6494e+01
epoch:0 81/61381 time:0.00+1.25 loss_context:3.6333e+01
epoch:0 81/61381 time:0.00+1.26 loss_context:3.6333e+01
epoch:0 82/61381 time:0.00+1.23 loss_context:3.6281e+01
epoch:0 82/61381 time:0.00+1.21 loss_context:3.6281e+01
epoch:0 83/61381 time:0.00+1.25 loss_context:3.6431e+01
epoch:0 83/61381 time:0.00+1.26 loss_context:3.6431e+01
epoch:0 84/61381 time:0.00+1.23 loss_context:3.6464e+01
epoch:0 84/61381 time:0.00+1.22 loss_context:3.6464e+01
epoch:0 85/61381 time:0.00+1.25 loss_context:3.6430e+01
epoch:0 85/61381 time:0.00+1.26 loss_context:3.6430e+01
epoch:0 86/61381 time:0.00+1.22 loss_context:3.6412e+01
epoch:0 86/61381 time:0.00+1.21 loss_context:3.6412e+01
epoch:0 87/61381 time:0.00+1.24 loss_context:3.6326e+01
epoch:0 87/61381 time:0.00+1.25 loss_context:3.6326e+01
epoch:0 88/61381 time:0.00+1.23 loss_context:3.6488e+01
epoch:0 88/61381 time:0.01+1.21 loss_context:3.6488e+01
epoch:0 89/61381 time:0.00+1.24 loss_context:3.6313e+01
epoch:0 89/61381 time:0.00+1.24 loss_context:3.6313e+01
epoch:0 90/61381 time:0.00+1.21 loss_context:3.6497e+01
epoch:0 90/61381 time:0.00+1.23 loss_context:3.6497e+01
epoch:0 91/61381 time:0.00+1.24 loss_context:3.6651e+01
epoch:0 91/61381 time:0.00+1.26 loss_context:3.6651e+01
epoch:0 92/61381 time:0.00+1.22 loss_context:3.6167e+01
epoch:0 92/61381 time:0.00+1.21 loss_context:3.6167e+01
epoch:0 93/61381 time:0.00+1.22 loss_context:3.6490e+01
epoch:0 93/61381 time:0.00+1.22 loss_context:3.6490e+01
epoch:0 94/61381 time:0.00+1.22 loss_context:3.6385e+01
epoch:0 94/61381 time:0.00+1.21 loss_context:3.6385e+01
epoch:0 95/61381 time:2.86+1.20 loss_context:3.6621e+01
epoch:0 95/61381 time:2.86+1.23 loss_context:3.6621e+01
epoch:0 96/61381 time:10.51+1.22 loss_context:3.6589e+01
epoch:0 96/61381 time:10.53+1.22 loss_context:3.6589e+01
epoch:0 97/61381 time:0.00+1.21 loss_context:3.6792e+01
epoch:0 97/61381 time:0.00+1.21 loss_context:3.6792e+01
epoch:0 98/61381 time:14.40+1.21 loss_context:3.6419e+01
epoch:0 98/61381 time:14.40+1.22 loss_context:3.6419e+01
epoch:0 99/61381 time:3.32+1.23 loss_context:3.6395e+01
epoch:0 99/61381 time:3.30+1.24 loss_context:3.6395e+01
epoch:0 100/61381 time:11.29+1.20 loss_context:3.6067e+01
epoch:0 100/61381 time:11.28+1.24 loss_context:3.6067e+01
epoch:0 101/61381 time:4.80+1.21 loss_context:3.6710e+01
epoch:0 101/61381 time:4.84+1.22 loss_context:3.6710e+01
epoch:0 102/61381 time:23.39+1.21 loss_context:3.6692e+01
epoch:0 102/61381 time:23.40+1.22 loss_context:3.6692e+01
epoch:0 103/61381 time:6.05+1.21 loss_context:3.6662e+01
epoch:0 103/61381 time:6.04+1.23 loss_context:3.6662e+01
epoch:0 104/61381 time:10.58+1.23 loss_context:3.5861e+01
epoch:0 104/61381 time:10.60+1.23 loss_context:3.5861e+01
epoch:0 105/61381 time:14.18+1.22 loss_context:3.7090e+01
epoch:0 105/61381 time:14.18+1.22 loss_context:3.7090e+01
epoch:0 106/61381 time:0.00+1.21 loss_context:3.6521e+01
epoch:0 106/61381 time:0.00+1.22 loss_context:3.6520e+01
epoch:0 107/61381 time:16.23+1.19 loss_context:3.6240e+01
epoch:0 107/61381 time:16.22+1.22 loss_context:3.6240e+01
epoch:0 108/61381 time:2.88+1.21 loss_context:3.6772e+01
epoch:0 108/61381 time:2.91+1.22 loss_context:3.6772e+01
epoch:0 109/61381 time:17.82+1.23 loss_context:3.6575e+01
epoch:0 109/61381 time:17.83+1.25 loss_context:3.6575e+01
epoch:0 110/61381 time:4.56+1.27 loss_context:3.6345e+01
epoch:0 110/61381 time:4.54+1.28 loss_context:3.6345e+01
epoch:0 111/61381 time:6.10+1.32 loss_context:3.6838e+01
epoch:0 111/61381 time:6.11+1.32 loss_context:3.6838e+01
epoch:0 112/61381 time:3.36+1.23 loss_context:3.6283e+01
epoch:0 112/61381 time:3.36+1.23 loss_context:3.6283e+01
epoch:0 113/61381 time:14.84+1.32 loss_context:3.6417e+01epoch:0 113/61381 time:14.84+1.32 loss_context:3.6417e+01

epoch:0 114/61381 time:0.74+1.21 loss_context:3.6387e+01
epoch:0 114/61381 time:0.74+1.22 loss_context:3.6387e+01
epoch:0 115/61381 time:16.27+1.22 loss_context:3.6585e+01
epoch:0 115/61381 time:16.27+1.23 loss_context:3.6585e+01
epoch:0 116/61381 time:5.74+1.22 loss_context:3.6336e+01
epoch:0 116/61381 time:5.74+1.22 loss_context:3.6336e+01
epoch:0 117/61381 time:20.03+1.22 loss_context:3.7074e+01
epoch:0 117/61381 time:20.04+1.22 loss_context:3.7074e+01
epoch:0 118/61381 time:0.00+1.21 loss_context:3.6327e+01
epoch:0 118/61381 time:0.00+1.22 loss_context:3.6327e+01
epoch:0 119/61381 time:10.68+1.21 loss_context:3.7416e+01
epoch:0 119/61381 time:10.67+1.22 loss_context:3.7416e+01
epoch:0 120/61381 time:0.00+1.22 loss_context:3.6610e+01
epoch:0 120/61381 time:0.00+1.21 loss_context:3.6610e+01
epoch:0 121/61381 time:12.54+1.22 loss_context:3.7100e+01
epoch:0 121/61381 time:12.53+1.22 loss_context:3.7100e+01
epoch:0 122/61381 time:0.22+1.21 loss_context:3.6281e+01
epoch:0 122/61381 time:0.21+1.22 loss_context:3.6281e+01
epoch:0 123/61381 time:19.50+1.22 loss_context:3.6579e+01
epoch:0 123/61381 time:19.50+1.23 loss_context:3.6579e+01
epoch:0 124/61381 time:0.00+1.22 loss_context:3.6582e+01
epoch:0 124/61381 time:0.00+1.22 loss_context:3.6582e+01
epoch:0 125/61381 time:23.23+1.22 loss_context:3.6796e+01
epoch:0 125/61381 time:23.23+1.22 loss_context:3.6796e+01
epoch:0 126/61381 time:0.00+1.22 loss_context:3.6097e+01
epoch:0 126/61381 time:0.00+1.22 loss_context:3.6097e+01
epoch:0 127/61381 time:22.42+1.20 loss_context:3.6405e+01
epoch:0 127/61381 time:22.42+1.25 loss_context:3.6405e+01
epoch:0 128/61381 time:0.00+1.23 loss_context:3.6906e+01
epoch:0 128/61381 time:0.00+1.19 loss_context:3.6906e+01
epoch:0 129/61381 time:18.25+1.22 loss_context:3.5938e+01
epoch:0 129/61381 time:18.27+1.22 loss_context:3.5938e+01
epoch:0 130/61381 time:0.00+1.22 loss_context:3.6151e+01
epoch:0 130/61381 time:0.00+1.22 loss_context:3.6151e+01
epoch:0 131/61381 time:14.31+1.22 loss_context:3.6122e+01
epoch:0 131/61381 time:14.31+1.23 loss_context:3.6122e+01
epoch:0 132/61381 time:0.00+1.23 loss_context:3.6319e+01
epoch:0 132/61381 time:0.00+1.23 loss_context:3.6319e+01
epoch:0 133/61381 time:28.90+1.22 loss_context:3.6066e+01
epoch:0 133/61381 time:28.90+1.23 loss_context:3.6066e+01
epoch:0 134/61381 time:0.00+1.22 loss_context:3.6335e+01
epoch:0 134/61381 time:0.00+1.22 loss_context:3.6335e+01
epoch:0 135/61381 time:21.79+1.22 loss_context:3.5736e+01
epoch:0 135/61381 time:21.79+1.23 loss_context:3.5736e+01
epoch:0 136/61381 time:0.00+1.22 loss_context:3.5861e+01
epoch:0 136/61381 time:0.00+1.23 loss_context:3.5861e+01
epoch:0 137/61381 time:10.90+1.23 loss_context:3.5669e+01
epoch:0 137/61381 time:10.90+1.23 loss_context:3.5669e+01
epoch:0 138/61381 time:0.00+1.22 loss_context:3.5509e+01
epoch:0 138/61381 time:0.00+1.22 loss_context:3.5509e+01
epoch:0 139/61381 time:18.46+1.25 loss_context:3.5570e+01
epoch:0 139/61381 time:18.46+1.27 loss_context:3.5570e+01
epoch:0 140/61381 time:0.00+1.38 loss_context:3.5869e+01
epoch:0 140/61381 time:0.00+1.35 loss_context:3.5868e+01
epoch:0 141/61381 time:14.24+1.24 loss_context:3.5155e+01
epoch:0 141/61381 time:14.24+1.25 loss_context:3.5155e+01
epoch:0 142/61381 time:0.00+1.21 loss_context:3.5289e+01
epoch:0 142/61381 time:0.00+1.23 loss_context:3.5289e+01
epoch:0 143/61381 time:21.66+1.36 loss_context:3.4883e+01epoch:0 143/61381 time:21.66+1.36 loss_context:3.4883e+01

epoch:0 144/61381 time:0.00+1.22 loss_context:3.5872e+01
epoch:0 144/61381 time:0.00+1.22 loss_context:3.5872e+01
epoch:0 145/61381 time:13.08+1.22 loss_context:3.5197e+01
epoch:0 145/61381 time:13.08+1.22 loss_context:3.5197e+01
epoch:0 146/61381 time:0.00+1.21 loss_context:3.4298e+01
epoch:0 146/61381 time:0.00+1.21 loss_context:3.4298e+01
epoch:0 147/61381 time:10.24+1.24 loss_context:3.4379e+01
epoch:0 147/61381 time:10.24+1.24 loss_context:3.4379e+01
epoch:0 148/61381 time:0.00+1.21 loss_context:3.4107e+01
epoch:0 148/61381 time:0.00+1.22 loss_context:3.4107e+01
epoch:0 149/61381 time:14.91+1.21 loss_context:3.4919e+01
epoch:0 149/61381 time:14.92+1.24 loss_context:3.4919e+01
epoch:0 150/61381 time:0.00+1.21 loss_context:3.4897e+01
epoch:0 150/61381 time:0.00+1.19 loss_context:3.4897e+01
epoch:0 151/61381 time:13.83+1.22 loss_context:3.4595e+01
epoch:0 151/61381 time:13.81+1.23 loss_context:3.4595e+01
epoch:0 152/61381 time:0.00+1.38 loss_context:3.4476e+01
epoch:0 152/61381 time:0.00+1.38 loss_context:3.4476e+01
epoch:0 153/61381 time:20.56+1.23 loss_context:3.4311e+01
epoch:0 153/61381 time:20.56+1.23 loss_context:3.4311e+01
epoch:0 154/61381 time:0.00+1.20 loss_context:3.3964e+01
epoch:0 154/61381 time:0.00+1.22 loss_context:3.3964e+01
epoch:0 155/61381 time:14.72+1.21 loss_context:3.3885e+01
epoch:0 155/61381 time:14.70+1.24 loss_context:3.3885e+01
epoch:0 156/61381 time:0.00+1.22 loss_context:3.4328e+01
epoch:0 156/61381 time:0.00+1.21 loss_context:3.4328e+01
epoch:0 157/61381 time:15.34+1.22 loss_context:3.4063e+01
epoch:0 157/61381 time:15.32+1.23 loss_context:3.4063e+01
epoch:0 158/61381 time:0.00+1.21 loss_context:3.1966e+01
epoch:0 158/61381 time:0.00+1.23 loss_context:3.1966e+01
epoch:0 159/61381 time:11.09+1.22 loss_context:3.0876e+01
epoch:0 159/61381 time:11.09+1.22 loss_context:3.0876e+01
epoch:0 160/61381 time:0.00+1.23 loss_context:3.1996e+01
epoch:0 160/61381 time:0.00+1.23 loss_context:3.1996e+01
epoch:0 161/61381 time:11.89+1.23 loss_context:3.2597e+01
epoch:0 161/61381 time:11.89+1.23 loss_context:3.2597e+01
epoch:0 162/61381 time:0.00+1.21 loss_context:3.1814e+01
epoch:0 162/61381 time:0.00+1.22 loss_context:3.1814e+01
epoch:0 163/61381 time:13.94+1.22 loss_context:3.1127e+01
epoch:0 163/61381 time:13.93+1.22 loss_context:3.1127e+01
epoch:0 164/61381 time:0.00+1.22 loss_context:2.9807e+01
epoch:0 164/61381 time:0.00+1.23 loss_context:2.9807e+01
epoch:0 165/61381 time:10.12+1.22 loss_context:3.0305e+01
epoch:0 165/61381 time:10.13+1.22 loss_context:3.0305e+01
epoch:0 166/61381 time:0.00+1.22 loss_context:3.0185e+01
epoch:0 166/61381 time:0.00+1.21 loss_context:3.0185e+01
epoch:0 167/61381 time:8.07+1.23 loss_context:3.1953e+01
epoch:0 167/61381 time:8.07+1.24 loss_context:3.1953e+01
epoch:0 168/61381 time:0.00+1.22 loss_context:3.0019e+01
epoch:0 168/61381 time:0.00+1.22 loss_context:3.0019e+01
epoch:0 169/61381 time:11.27+1.22 loss_context:3.2107e+01
epoch:0 169/61381 time:11.27+1.22 loss_context:3.2107e+01
epoch:0 170/61381 time:0.00+1.22 loss_context:3.1497e+01
epoch:0 170/61381 time:0.00+1.22 loss_context:3.1497e+01
epoch:0 171/61381 time:15.90+1.22 loss_context:3.1388e+01
epoch:0 171/61381 time:15.90+1.22 loss_context:3.1387e+01
epoch:0 172/61381 time:0.00+1.22 loss_context:3.0645e+01
epoch:0 172/61381 time:0.00+1.21 loss_context:3.0645e+01
epoch:0 173/61381 time:10.56+1.23 loss_context:3.1110e+01
epoch:0 173/61381 time:10.56+1.23 loss_context:3.1110e+01
epoch:0 174/61381 time:0.00+1.22 loss_context:2.9562e+01
epoch:0 174/61381 time:0.00+1.23 loss_context:2.9563e+01
epoch:0 175/61381 time:12.95+1.22 loss_context:3.2488e+01
epoch:0 175/61381 time:12.94+1.22 loss_context:3.2488e+01
epoch:0 176/61381 time:0.00+1.22 loss_context:3.1026e+01
epoch:0 176/61381 time:0.00+1.22 loss_context:3.1026e+01
epoch:0 177/61381 time:17.75+1.33 loss_context:3.2938e+01epoch:0 177/61381 time:17.75+1.33 loss_context:3.2938e+01

epoch:0 178/61381 time:0.00+1.21 loss_context:3.2631e+01
epoch:0 178/61381 time:0.00+1.22 loss_context:3.2632e+01
epoch:0 179/61381 time:11.72+1.23 loss_context:3.0601e+01
epoch:0 179/61381 time:11.73+1.23 loss_context:3.0601e+01
epoch:0 180/61381 time:0.00+1.22 loss_context:3.1250e+01
epoch:0 180/61381 time:0.00+1.22 loss_context:3.1250e+01
epoch:0 181/61381 time:8.68+1.22 loss_context:3.1065e+01
epoch:0 181/61381 time:8.68+1.23 loss_context:3.1065e+01
epoch:0 182/61381 time:0.00+1.21 loss_context:2.9697e+01
epoch:0 182/61381 time:0.00+1.23 loss_context:2.9697e+01
epoch:0 183/61381 time:11.72+1.23 loss_context:2.9044e+01
epoch:0 183/61381 time:11.72+1.23 loss_context:2.9044e+01
epoch:0 184/61381 time:0.00+1.22 loss_context:3.0064e+01
epoch:0 184/61381 time:0.00+1.22 loss_context:3.0064e+01
epoch:0 185/61381 time:9.60+1.21 loss_context:2.8697e+01
epoch:0 185/61381 time:9.60+1.23 loss_context:2.8697e+01
epoch:0 186/61381 time:0.00+1.22 loss_context:3.2267e+01
epoch:0 186/61381 time:0.00+1.21 loss_context:3.2267e+01
epoch:0 187/61381 time:10.39+1.21 loss_context:3.0727e+01
epoch:0 187/61381 time:10.40+1.24 loss_context:3.0727e+01
epoch:0 188/61381 time:0.00+1.23 loss_context:2.7685e+01
epoch:0 188/61381 time:0.00+1.21 loss_context:2.7685e+01
epoch:0 189/61381 time:10.52+1.22 loss_context:3.1097e+01
epoch:0 189/61381 time:10.52+1.23 loss_context:3.1097e+01
epoch:0 190/61381 time:1.30+1.22 loss_context:2.9939e+01
epoch:0 190/61381 time:1.29+1.22 loss_context:2.9939e+01
epoch:0 191/61381 time:11.98+1.22 loss_context:3.1781e+01
epoch:0 191/61381 time:11.98+1.23 loss_context:3.1781e+01
epoch:0 192/61381 time:0.00+1.22 loss_context:3.1609e+01
epoch:0 192/61381 time:0.00+1.22 loss_context:3.1609e+01
epoch:0 193/61381 time:15.91+1.33 loss_context:3.1894e+01
epoch:0 193/61381 time:15.91+1.33 loss_context:3.1894e+01
